SKU,Category,UnitCost,CurrentStock,SafetyStock,ReorderPoint,MaxStock,AvegDailyDemand,LeadTimeDays,Warehouse,InventoryValue,DemandVariability,OptimalSafetyStock,Status,AnnualRevenue,CumulativePct,ABCClass
SKU-00044,Finished Goods,893.633408505078,94,118,157,558,35.55960436150203,24,WH-Central,84001.54039947734,7.111920872300407,911.0,🚨 REORDER NOW,11598696.414491301,0.21338092711587905,A
SKU-00122,Raw Materials,728.6961220815369,189,189,296,758,42.882294954122244,26,WH-West,137723.5670734105,8.576458990824449,1187.0,🚨 REORDER NOW,11405579.144244323,0.24633317372330163,A
SKU-00006,Finished Goods,864.4723916168376,50,62,240,496,36.06776728832144,11,WH-East,43223.61958084188,7.213553457664289,436.0,🚨 REORDER NOW,11380550.002525395,0.26272664441784216,A
SKU-00085,MRO,730.934185125741,175,179,153,465,39.62718199363716,18,WH-Central,127913.48239700467,7.925436398727432,769.0,🚨 REORDER NOW,10572174.622462245,0.3093022272286651,A
SKU-00030,Finished Goods,908.490809186832,157,175,118,748,28.945106836939203,19,WH-Central,142633.05704233263,5.789021367387841,592.0,🚨 REORDER NOW,9598172.689285923,0.3231282165409596,A
SKU-00027,Packaging,640.0463071511426,16,50,135,504,37.10073136480486,28,WH-East,10240.740914418282,7.420146272960972,1104.0,🚨 REORDER NOW,8667357.927467221,0.34921874755128196,A
SKU-00068,Raw Materials,502.2760208334616,113,177,160,402,45.354444108189135,8,WH-Central,56757.19035418116,9.070888821637828,405.0,🚨 REORDER NOW,8314864.14552783,0.3981191173970467,A
SKU-00140,Raw Materials,715.0574291340605,59,106,162,350,27.62241755416156,13,WH-East,42188.38831890957,5.5244835108323125,392.0,🚨 REORDER NOW,7209339.432202403,0.48684565872616076,A
SKU-00144,Finished Goods,653.1365700567425,102,191,276,765,29.459878750129487,26,WH-East,66619.93014578773,5.891975750025898,816.0,🚨 REORDER NOW,7023083.3188186865,0.5073255565423082,A
SKU-00038,Raw Materials,930.4006758191473,36,71,138,338,19.493562451243022,23,WH-Central,33494.4243294893,3.8987124902486046,479.0,🚨 REORDER NOW,6619940.64274713,0.5264010838757882,A
SKU-00143,Finished Goods,749.0264910668438,4,91,126,304,22.275104961794515,26,WH-Central,2996.1059642673754,4.455020992358903,617.0,🚨 REORDER NOW,6089894.953302685,0.5720280397637549,A
SKU-00133,Raw Materials,666.8667514169753,53,118,217,494,22.66002983401859,26,WH-East,35343.93782509969,4.532005966803719,627.0,🚨 REORDER NOW,5515595.476084657,0.6128803523163501,A
SKU-00142,Raw Materials,332.14570117767505,107,158,158,576,45.48085579735558,24,WH-West,35539.59002601123,9.096171159471117,1165.0,🚨 REORDER NOW,5513788.819725289,0.6208228626002988,A
